sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_s_d,metric_s_d_norm,metric_s_s_d,metric_s_s_d_norm,metric_sent_bert,metric_t_s_d,metric_t_s_d_norm
test.sa-sb.sa::00633,Skip is with his friends at the lake. Skip wishes he could join them. Skip doesn't know how to swim. While standing next to the lake one of his friends push him in.,0.0,content_diversity,Skip drowned in the lake,Skip went under the water and never came up,Skip's body was eventually recovered.,Skip's parents had to bury their son,Skip dies,-0.020,0.971,-0.267,1.674,0.335,4.711,0.942,-0.505,13.340,0.635
test.sa-sb.sa::00635,I had a nightmare the other night. It was so scary that it woke me up from my sleep. It took me a long time to go back to bed. I finally got back to sleep.,1.0,content_diversity,I had another nightmare.,My alarm went off and woke me up.,My cat jumped on me and woke me up.,My baby started screaming and startled me awake.,I woke to the smell of coffee.,-0.055,0.895,-0.441,1.689,0.338,4.968,0.994,-0.387,11.550,0.550
test.sa-sb.sa::00636,"Every Thanksgiving, Josie broke the wishbone with her father. It was their tradition since she was three years old. She waited patiently as her whole family sat down to their meal. She got up from her seat when her mother started clearing the table.",1.0,content_diversity,Her mother handed her the wishbone.,She grabbed the wishbone and walked over to her father.,She got the wishbone and broke it with her dad.,Her dad already had the wishbone and broke it with her.,Someone else had already broken the wishbone.,-0.161,0.765,-0.479,1.811,0.362,4.918,0.984,-0.577,12.153,0.486
test.sa-sb.sa::00637,"Abby can't understand people. Yesterday, a woman told Abby that she was voting for Donald Trump. Abby thinks that woman is a moron. Abby hopes there are more smart people than dumb ones like that woman.",1.0,content_diversity,Abby was upset when Donald Trump won,Donald Trump wins the election and Abby is now the dumb one,Abby told this woman how dumb she thought she was,The woman told Abby she's dumb for voting for anyone else,Abby tells her friends about how dumb the woman was,-0.056,0.915,-0.217,2.216,0.443,4.802,0.960,-0.619,16.007,0.552
test.sa-sb.sa::00639,"I played basketball very hard. I often fouled and ran into people. Because I was too aggressive, I got booted from the team. I scored for them a lot, so they missed me.",0.0,content_diversity,The coach called me up and asked if I could come back.,They regretted losing their best player and ultimately losing the season.,It was too late for them because I joined the opposing team and kicked their butts.,I did not care because I had moved on to more interesting hobbies.,Instead of doing basketball I joined the football team where my aggressiveness was more welcome.,-0.035,0.942,-0.181,2.193,0.439,4.920,0.984,-0.221,17.794,0.508
test.sa-sb.sa::00641,Brian loved hiking. One of his favorite places to hike was in the mountains. One time he ended up getting lost and off the path. He spent hours trying to find his way out.,0.0,content_diversity,"As the sun was setting, he became very anxious.",He watched the sun slowly go down and became frightened.,Brian realized he was quickly running out of daylight.,He wondered if he'd have to sleep overnight in the mountains.,He began to panic at dusk.,-0.026,0.955,-0.382,2.516,0.503,4.370,0.874,-0.460,10.840,0.374
test.sa-sb.sa::00643,My car was running rough the other day. I looked it over but couldn't figure out the problem. I ended up taking it to the local mechanic. He was able to identify the problem quickly.,1.0,content_diversity,I paid him and went off,I thanked him so much,But I couldn't pay,My car was running better,My car was fixed,-0.049,0.915,-0.197,2.080,0.416,4.639,0.928,-0.192,8.226,0.748
test.sa-sb.sa::00644,John thought it would be fun to play with some geese. He got too close. He realized they wanted to attack him. He tried to run away.,0.0,content_diversity,He realized he could not out run the geese.,John saw the geese were gaining on him.,He just couldn't run fast enough.,There was no way he could out run the geese.,John realized the geese would finally catch up to him.,-0.079,0.879,-0.449,2.236,0.447,4.491,0.898,-0.527,10.248,0.380
test.sa-sb.sa::00645,A couple of Mormons challenged strangers to a basketball game. The others accepted. The Mormons were exceptionally good at the game. They beat the other guys fairly easily.,1.0,content_diversity,The other guys were good sports about it.,The Mormons started teasing the other guys.,The other guys were bad sports when they lost.,The others guys were shocked the Mormons were so good.,The other guys got mad and started beating the Mormons.,-0.138,0.839,-0.481,2.102,0.420,4.462,0.892,-0.500,15.414,0.571
test.sa-sb.sa::00646,Lance is working hard on building a new room to his house. He works very hard day and night to get in done quick. One night while working all day he wanted to keep going and finish it. He began working while being tired and hammered his hand accidentally.,1.0,content_diversity,Lance rushed to the hospital and was given pain medication,Lane hand swelled and felt broken,He put his hand in ice water to numb the pain,Lance was angry and broke the wall with the hammer,Lance gave up that day and went to sleep,-0.041,0.943,-0.234,1.910,0.382,4.977,0.995,-0.285,16.336,0.605
test.sa-sb.sa::00647,The man smashed a pumpkin. The neighbors saw him do it. The neighbors told the cops. The cops had no choice but to look into it.,1.0,content_diversity,The cops drove up and down the street looking out for the man.,The cops caught the man smashing another pumpkin.,The cops chased the man down the street and arrested him.,The cops pretended to look into it but did nothing except eat donuts.,The man hid out and was never found.,-0.087,0.894,-0.409,1.656,0.331,4.756,0.951,-0.191,16.321,0.526
test.sa-sb.sa::00647,The man smashed a pumpkin. The neighbors saw him do it. The neighbors told the cops. The cops had no choice but to look into it.,0.0,content_diversity,The man was in plain sight smashing more pumpkins.,The cops arrested the man in the act.,The cops followed the man covered in pumpkin guts.,The man was handcuffed and taken away.,The man put the hollowed out pumpkin on his head and ran.,-0.088,0.894,-0.341,1.641,0.328,4.360,0.872,-0.306,17.167,0.572
test.sa-sb.sa::00649,Larry had a wonderful relationship and a best friend. He was very happy with both of them. Unfortunately one day Larry's girlfriend admitted to cheating. She told him it was with his best friend.,1.0,content_diversity,he was crushed,he went and bunch his best friends in the face.,he stop associating with both of them,he decides to get a new girlfriend and a new best friend,they are no longer his girlfriend and his best friend,-0.039,0.916,-0.188,1.889,0.378,4.914,0.983,-0.299,11.776,0.589
test.sa-sb.sa::00650,"Little Zelly sat down at lunch time. She opened her lunch bag with excitement. Inside she saw baby carrots, sliced fruit, and rice with vegetables. At the bottom, she saw a smiley face drawn on her napkin.",1.0,content_diversity,it was so thoughtful,the lunch was delicious,the lunch was very simple,she was surprised,she felt warm inside,-0.065,0.893,-0.290,1.965,0.393,4.893,0.979,-0.328,7.165,0.796
test.sa-sb.sa::00651,Sam's television was stolen. He was shopping for a replacement. He didn't have much money. Sam was looking at used ones when he found his old one.,1.0,content_diversity,he got his old television back,he tried to find why it was there,he ask for his old television back,he demand his old television back,he wanted his old one back.,-0.190,0.802,-0.493,1.373,0.275,4.580,0.916,-0.522,11.259,0.593
test.sa-sb.sa::00653,Jessie was visiting her grandmother. She was staying at her house overnight. Her grandmother cooked Jessie's favorite supper for her. They enjoyed a movie at night.,1.0,content_diversity,Jessie had a great night,Jessie had leftovers for breakfast the next day,Jessie went to sleep happy,They decided to do the same thing next week,They enjoyed the movie so much they watched another one!,-0.031,0.951,-0.247,1.706,0.341,4.997,0.999,-0.253,11.206,0.487
test.sa-sb.sa::00653,Jessie was visiting her grandmother. She was staying at her house overnight. Her grandmother cooked Jessie's favorite supper for her. They enjoyed a movie at night.,0.0,content_diversity,The night was great for Jessie,Jessie had fun that night,Jessie really enjoyed herself,Both Jessie and her grandma had a lot of fun,Jessie thought the night was awesome,-0.058,0.934,-0.381,2.425,0.485,4.601,0.920,-0.778,11.523,0.678
test.sa-sb.sa::00654,Kate had a headache. She kept a bottle of pills in her purse for such an occasion. She could only find vitamins in the bottle. She had been sharing her Advil with people at work.,1.0,content_diversity,she was so sad all her advil was gone,she could not believe someone switch her pills,she went to get some new advil,someone gave her some aspirin,she tried to find out who switch her medicine.,-0.046,0.931,-0.270,2.478,0.496,4.970,0.994,-0.363,13.516,0.711
test.sa-sb.sa::00655,Ken went skiing with friends. He was new to the whole thing. They all went too high up and he tried to follow. Ken tumbled the entire way down.,1.0,content_diversity,he was not hurt,he was hurt,he was so sad he did not go skiing again,he did not like skiing after that,it was a bad ski experience,-0.098,0.878,-0.397,2.182,0.436,4.737,0.947,-0.376,7.444,0.744
test.sa-sb.sa::00655,Ken went skiing with friends. He was new to the whole thing. They all went too high up and he tried to follow. Ken tumbled the entire way down.,0.0,content_diversity,he got hurt,he got injured,he was injured,his fall was painful,this incident cause him some injury,-0.049,0.933,-0.525,2.061,0.412,4.600,0.920,-0.762,8.690,0.869
test.sa-sb.sa::00656,Sarah lost her husband in the war. It had been years since she seen her husband. One day she gets a letter in the mail. It was a letter from her husband.,1.0,content_diversity,"He sent her the letter before his death, she cried as she read it",Her husband had another soldier mail it to her in case something happened,Sarah was scared to open it but when she did she was filled with love,Sarah thought she was going crazy and the letter wasn't real,"She couldn't open it, she was crying to much",-0.050,0.935,-0.179,2.664,0.533,4.546,0.909,-0.320,17.293,0.577
test.sa-sb.sa::00657,Rita is out at burger king with her family. She is enjoying her usual meal. While eating she gets something in her throat. Rita is choking and needs help.,0.0,content_diversity,"Fortunately, this is seen by a nurse who rushes to her rescue.",A nurse at the next table suddenly puts her hands around Rita's waist.,Rita is saved by a nurse who was also a patron.,"Thankfully, a nurse with experience is nearby.",Rita is suddenly lifted up by a nurse who performs the Heimlich manever.,-0.105,0.874,-0.267,2.118,0.424,4.853,0.971,-0.535,20.493,0.554
test.sa-sb.sa::00661,My 2 year old cousin was eating an apple. He walked around between everyone at the party. He started coughing and choking. Everyone panicked and started hitting him on the back.,1.0,content_diversity,He quickly spit out the apple.,"Luckily, there was a doctor at the party.","My sister, who was a trained nurse, quickly picked him up and turned him over.",The poor thing thought everyone was beating on him.,"Once he spit it out, the party resumed to normal.",-0.030,0.949,-0.215,2.378,0.476,4.935,0.987,-0.171,16.021,0.534
test.sa-sb.sa::00662,"My friends and I bought tickets to a music festival. Before the festival, we went to John's house to have lunch. We grilled chicken and drank beer. After lunch, we went to the music festival.",0.0,content_diversity,Everyone had fun,A great time was had by all,We all enjoyed the eveing,The music festival was great,The show was awesome!,-0.027,0.950,-0.360,2.181,0.436,4.914,0.983,-0.680,9.380,0.782
test.sa-sb.sa::00663,I always wanted to take an art class. So when I turned 40 I enrolled into art classes. I was so nervous and didn't really talk to anyone unless necessary. Our first project was a group activity that forced everyone to talk.,1.0,content_diversity,I realized my classmates were really nice.,Everyone was so nice to talk to.,No one really wanted to talk to each other.,We met up at the bar every day after class.,By the end of the class we were friends.,-0.032,0.935,-0.278,2.628,0.526,4.966,0.993,-0.289,10.517,0.438
test.sa-sb.sa::00664,Jenny has decided that she wants to buy a cellphone. She goes to a store but finds many are expensive. Finally she finds a cell phone that fits her budget. Jenny buys it.,1.0,content_diversity,Jenny is happy with her purchase and loves her new phone,Jenny hates her cheap new phone and gets another one,As she's leaving the store she drops and breaks it,She loves her new phone and shows it to her friends,"Jenny spends all day programming her new phone, she loves it",-0.091,0.880,-0.387,2.399,0.480,4.606,0.921,-0.449,17.318,0.541
test.sa-sb.sa::00665,"Abby recently went diving in Jamaica. As Abby was diving, she grabbed a piece of coral. The instructor immediately scolded Abby for her error. Abby did not know she could not break off the coral.",1.0,content_diversity,Abby cried when she was told that she couldn't take the coral.,Abby tried to put the coral back.,The instructor felt bad for scolding and explained why she shouldn't take the coral.,Abby threw the coral back into the ocean.,Abby ran home and told her mother what happened.,-0.075,0.904,-0.324,2.112,0.422,4.952,0.990,-0.470,15.711,0.449
test.sa-sb.sa::00666,Tim loved nature. He would go out into it every chance he got. This weekend he went canoeing. It was relaxing and challenging at the same time.,1.0,content_diversity,Tim decided to go conoeing next weekend as well,Tim told his friends how great it was,He went home and learned more about canoeing,Tim decided to buy a canoe,Tim spent the whole weekend canoeing and loved it,-0.040,0.937,-0.322,1.857,0.371,4.941,0.988,-0.445,12.423,0.497
test.sa-sb.sa::00667,It was Sam's first day at college. He messed up his alarm and woke up late. He tried to get to class as fast as possible. Once there he didn't understand anything being said.,0.0,content_diversity,Sam was in the wrong classroom.,The school had switched the rooms for the Mandarin class and his class.,Sam didn't pay attention and walked into the wrong building.,Sam didn't realize it was Tuesday's Mandarin class and not his Monday history class.,Sam was on the phone and not watching what room he went to.,-0.069,0.901,-0.302,2.011,0.402,4.995,0.999,-0.363,16.642,0.462
test.sa-sb.sa::00668,"There was a girl in our class who was in a wheelchair. Her aunt took the class as well. One day, she was in the bathroom. Her aunt went to class and forgot her niece in the bathroom.",1.0,content_diversity,The niece stayed in the bathroom all night.,The niece started yelling and alerted her aunt.,The aunt looked around and realized she had forgotten her niece.,The niece wheeled herself to class.,The niece called her aunt on the cellphone to find out where she was.,-0.083,0.913,-0.432,1.568,0.314,4.401,0.880,-0.443,10.793,0.385
test.sa-sb.sa-b::00680,Tammy had a gambling addiction. Most forms are outlawed where she lives. Except for dog racing. She goes every weekend.,1.0,content_diversity,One weekend she went to the dog tracks and learned her lesson after spending her entire paycheck!,Last weekend she actually won $1000 and booked a trip to Mexico with the winnings.,Tammy fell in love with one of the Greyhounds and adopted him when he retired.,One day she booked a trip to Vegas where she could gamble even more.,Tammy's friends were worried about her so they staged an intervention.,-0.038,0.931,-0.225,2.682,0.536,4.987,0.997,-0.265,26.488,0.589
test.sa-sb.sa-b::00680,Tammy had a gambling addiction. Most forms are outlawed where she lives. Except for dog racing. She goes every weekend.,0.0,content_diversity,An intervention was staged by Tammy's concerned friends.,Tammy was to face an intervention set up by her worried buddies.,Friends of Tammy's were distraught by her gambling addiction so and intervention was staged.,Concern from Tammy's friends led them to do an intervention.,Tammy discovered when her friends staged an intervention that they were worried.,-0.077,0.897,-0.420,2.409,0.482,4.919,0.984,-0.806,16.355,0.442
test.sa-sb.sa-b::00682,Kate had slept most of the way on the road trip. She was awake now. But she had no headphones to listen to music. Her eyes felt heavy as she stared at the road passing by.,1.0,content_diversity,she felt asleep again,she decide to do some reading,she decide to have a conversation,she eat something,she drink something,-0.075,0.896,-0.316,1.473,0.295,4.438,0.888,-0.308,7.537,0.754
test.sa-sb.sa-b::00682,Kate had slept most of the way on the road trip. She was awake now. But she had no headphones to listen to music. Her eyes felt heavy as she stared at the road passing by.,0.0,content_diversity,she drift back into sleep,she sleeps once more,she fell asleep once more,she decide to sleep more,she close her eye and drifted back to sleep,-0.080,0.904,-0.342,1.712,0.342,4.690,0.938,-0.858,10.295,0.792
test.sa-sb.sa-b::00683,Ben is in his favorite store. He decides to buy some apples. He takes them home and washes them. After washing them he bites into the apple.,1.0,content_diversity,He sees a worm in the apple and spits what he has bitten off out.,Ben thinks these are the best tasting apples he has ever had.,All of the apples turn out to be bad inside.,Ben thinks these are the worst tasting appkleas he has ever tried.,"He finishes the apple which was so good, he gest another right away.",-0.077,0.882,-0.222,2.107,0.421,4.994,0.999,-0.477,17.943,0.513
test.sa-sb.sa-b::00684,Lance can't wait to go on his cruise. He never been on a ship before. He boards the ship to set off on his cruise. About 10 minutes on board he starts feeling sick.,1.0,content_diversity,He throws up over the side of the boat.,The feeling soon goes away and he really starts to enjoy himself.,"He sees other people throwing up and this makes him join in, soon the deck is awash with vomit.",He asks for the boat to be turned around but they say this is not possible.,He goes to the side of the boat to be sick but accidently falls over the rails and into the sea.,-0.079,0.880,-0.282,2.071,0.414,4.281,0.856,-0.287,24.131,0.619
test.sa-sb.sa-b::00685,My sister-in-law B loved to nibble on raw hamburger. One day we were on vacation together. B made hamburgers for us. Later at night she had stomach cramps.,0.0,content_diversity,she made a bad choice,eating raw meat was a bad decision,she should not have eaten raw meat,she decides incorrectly,her decision was wrong,-0.040,0.919,-0.398,1.560,0.312,4.840,0.968,-0.494,11.224,0.748
test.sa-sb.sa-b::00686,John read the newspaper every day. He always thought the stuff inside it was honest. ONe day he cross referenced with other sources. John found out he had been lied to a lot.,0.0,content_diversity,John stopped reading that newpaper.,After that John never once revisited that paper.,This particular paper was dead to John as he no longer read it.,He ceased to ever look at that paper again from that point onwards.,John no longer so much as perused that paper after that.,-0.071,0.923,-0.347,2.662,0.532,4.596,0.919,-0.748,16.211,0.540
test.sa-sb.sa-b::00687,Jake never cooked dinner. He thought he would surprise his girlfriend. He looked up online how to cook a fancy dinner. Jake only messed up small parts of it.,0.0,content_diversity,Jake was proud of learning something new.,Jake needed the extra help.,The additional knowledge let Jake succeed.,The extra research led to a happy event.,The meal went good by Jake's research.,-0.025,0.964,-0.331,2.546,0.509,4.978,0.996,-0.530,16.861,0.562
test.sa-sb.sa-b::00688,Kevin always wanted to be a writer. He decided he wanted to write just like his favorite author. He spent years perfecting his style. He was invited to read at a rally attended by his favorite author.,1.0,content_diversity,It was hard trying to write his first book but worth it.,"Kevin's favorite author turned out to be a jerk, which was deflating to Kevin.",Kevin wanted to emulate his favorite author and treat his fans like gold.,"Kevin's favorite author came up to him and introduced himself, to Kevin's surprise.",Kevin really enjoyed the rally and he was over the moon meeting his favorite author.,-0.069,0.908,-0.329,2.405,0.481,4.931,0.986,-0.493,24.152,0.514
test.sa-sb.sa-b::00688,Kevin always wanted to be a writer. He decided he wanted to write just like his favorite author. He spent years perfecting his style. He was invited to read at a rally attended by his favorite author.,0.0,content_diversity,Kevin realized that even the guys you root for most can something let you down.,"Kevin was so surprised at the author's rudeness, he even mentioned it to him.",Kevin cringed as his favorite author pretended to care about his fans and then put them down later.,Kevin swore to God that he would never treat people like he was treated by his favorite author.,Kevin decided he would get to know someone before admiring them.,-0.045,0.931,-0.270,2.118,0.424,4.883,0.977,-0.534,20.835,0.443
test.sa-sb.sa-b::00689,Our relationship confuses me. We got into another argument. He accused me of not working hard. I explained my computer was being slow.,0.0,content_diversity,This is not a new problem.,The speed of the computer determines how fast I can go.,I can only go as fast as my computer.,A newer computer would get rid of this issue.,I felt that the computer was the focus of the issue.,-0.038,0.920,-0.301,2.455,0.491,4.947,0.989,-0.335,11.228,0.449
test.sa-sb.sa-b::00690,Fred is visiting France. He is overwhelmed by the size of the city. Fred wishes he had brought a map. He can't find his way to his hotel.,1.0,content_diversity,He asked some strangers where to go.,He was desperate for a map.,He knew he had to struggle to find it.,He felt it was a challenge.,He decided to start asking for help.,-0.052,0.937,-0.451,1.605,0.321,4.957,0.991,-0.357,9.522,0.501
test.sa-sb.sa-b::00690,Fred is visiting France. He is overwhelmed by the size of the city. Fred wishes he had brought a map. He can't find his way to his hotel.,0.0,content_diversity,It wasn't going to be easy.,The effort involved was going to be large.,He felt he needed to put forth large amounts of effort.,The skill needed to solve the map issue was great.,He knew he would be having a stressful day.,-0.053,0.920,-0.323,2.157,0.431,4.512,0.902,-0.563,14.977,0.517
test.sa-sb.sa-b::00691,Jane noticed her internet was slow. The cable company was no help. Eventually someone recommended getting a better router. Jane tried it out.,0.0,content_diversity,The router changed everything.,The new router gave her a boost.,The speed change was obvious.,It didn't take long to see the great change.,The router upped the speed greatly.,-0.048,0.941,-0.403,2.173,0.435,4.997,0.999,-0.507,8.892,0.370
test.sa-sb.sa-b::00692,I work very hard to please him. Today I got the entire house cleaned. I washed the floors and cleaned the toilets. I took all the trash out to the curb.,1.0,content_diversity,He came home and did not notice the work I had done.,When he saw how hard I worked he took me out to dinner.,None of it made him happy.,"He took one look at the work I had done and said, ""about time!""",I felt much better having a clean house even if my husband was moody.,-0.038,0.921,-0.232,2.124,0.425,4.993,0.999,-0.245,17.442,0.484
test.sa-sb.sa-b::00692,I work very hard to please him. Today I got the entire house cleaned. I washed the floors and cleaned the toilets. I took all the trash out to the curb.,0.0,content_diversity,None of the work I did registered with him when he returned home.,All of my hard work went unnoticed by him upon his return.,He arrived back at home and showed no sign that he recognized any of my work.,The effort I put into doing all this cleaning did not register with him when he came home.,After coming home he in no way acknowledged or recognized how much I had been cleaning.,-0.052,0.923,-0.396,2.674,0.535,4.409,0.882,-0.686,17.569,0.488
test.sa-sb.sa-b::00693,My friend and I use emoticons when we text. When we talked today we used the money one a lot. We like to use the one who covers his eyes. We sent it to each other to signify embarrassment.,0.0,content_diversity,it was hilarious,it was laughable,it has a lot of humor,we laugh,it made us laugh,-0.055,0.929,-0.419,2.126,0.425,4.642,0.928,-0.749,7.318,0.915
test.sa-sb.sa-b::00694,I took my son to the store. He waved at a man there. The man asked how he was. My son used sign language to say he was good.,0.0,content_diversity,My son doesn't get many chances to sign with another boy close to his age.,The man looked happy to see his son talk to a friend in sign language.,The man's son was really happy to see my son and they laughed together.,"The boys were so glad to see each other, I promised to bring my son back soon.",The man's son wanted my son to stay longer so they could talk.,-0.092,0.900,-0.352,1.954,0.391,4.889,0.978,-0.485,32.753,0.642
test.sa-sb.sa-b::00695,Joan went to the movies. She was going to meet her friend Lynn. Lynn was late for their meetings. Joan and Lynn bought their tickets.,1.0,content_diversity,they went inside the movie,they want the movies,they enjoy the movies,they went to dinner after,they went to the bar after,-0.123,0.844,-0.385,1.306,0.261,4.161,0.832,-0.351,7.971,0.725
test.sa-sb.sa-b::00696,Joe bought a new leather jacket. He was excited to wear it out in public. He chose a night to go bar hopping. Unfortunately it started to rain.,1.0,content_diversity,he cancel it,he went anyway,he got caught in the rain,he decides to have a night in instead,he throw a party at home,-0.049,0.954,-0.272,2.333,0.467,4.999,1.000,-0.237,9.405,0.784
test.sa-sb.sa-b::00697,The man baked the bread. The loaf looked perfect. He shared the load with his friends. His friends asked for the recipe.,1.0,content_diversity,One of his friends then stole the recipe and started selling the bread.,They all had a bread baking contest together.,The man told them that it was a secret.,They were all shocked to discover the secret ingredient.,His friends never ate store bought bread again.,-0.021,0.962,-0.302,2.177,0.435,4.888,0.978,-0.268,10.341,0.357
test.sa-sb.sa-b::00697,The man baked the bread. The loaf looked perfect. He shared the load with his friends. His friends asked for the recipe.,0.0,content_diversity,He and his friends decided to have a competition to see who could bake the best loaf.,Together they agreed to compete to see who made the nicest bread.,A contest was put in place to determine who had the most excellent loaf ever.,They started a contest to see who's bread was superior.,The friends put a competition together so they could see who was the best bread baker.,-0.079,0.898,-0.549,2.180,0.436,4.735,0.947,-0.760,22.050,0.525
test.sa-sb.sa-b::00699,"Janet's family was used to tornado season where they lived. Luckily, they had avoided any major damage to their farm. They heard of a bad tornado coming their way. They weren't worried and didn't evacuate like their neighbors.",1.0,content_diversity,The tornado was the biggest ever and ripped their house apart killing them all.,Yet again for some reason their house was mostly unscathed.,The tornado turned out to be much weaker than predicted so they were pleased with thier decision.,The house was badly damaged by the tornado this time but luckily nobody was hurt.,They hid inside but forgot about the dog who was missing when the tornado passed.,-0.044,0.943,-0.248,2.516,0.503,4.994,0.999,-0.379,21.985,0.550
test.sa-sb.sa-b::00699,"Janet's family was used to tornado season where they lived. Luckily, they had avoided any major damage to their farm. They heard of a bad tornado coming their way. They weren't worried and didn't evacuate like their neighbors.",0.0,content_diversity,They all died as the tornado was so strong and destructive.,This time they were not so lucky and the house was destroyed by the tornado and they were all killed.,"This was a super tornado that destroyed the house, killing them all.",They all died this time becuase the tornado was so powerful.,The tornado was the biggest ever and tore their house apart and killed them all.,-0.110,0.862,-0.489,2.486,0.497,4.239,0.848,-0.795,16.966,0.530
test.sa-sb.sa-b::00700,Jake invited friends over to play board games. They had drinks and played Monopoly mostly. Everyone had a good time. Eventually there was no winner and it got late.,0.0,content_diversity,Everyone had so much fun.,All of the participants had a fabulous time.,Jake and his friends found their time playing games together to be enjoyable.,Each attendee had a wonderful time.,They all had a very pleasurable experience.,-0.045,0.952,-0.531,1.930,0.386,4.760,0.952,-0.737,10.159,0.423
test.sa-sb.sa-b::00701,Devin just got his licenses. He asks his parents for permission to out driving. While out driving he agrees to race one of his friends. Devin steps on the gas and races in his parents car.,1.0,content_diversity,he wrecks it,he won the race,he got pulled over,it was exhilerating,he felt bad after,-0.039,0.756,-0.218,2.909,0.582,4.961,0.992,-0.322,6.002,0.857
test.sa-sb.sa-b::00702,"Sally spent Monday night at a party. The party didn't end until 2 am. She fell asleep as soon as she got home. However, she forgot to study for a midterm.",1.0,content_diversity,She did bad on it.,The midterm didn't go well.,She was upset at herself.,The midterm should have gone different.,She was hoping to do better on the midterm.,-0.037,0.937,-0.366,2.480,0.496,4.185,0.837,-0.465,7.045,0.414
test.sa-sb.sa-b::00702,"Sally spent Monday night at a party. The party didn't end until 2 am. She fell asleep as soon as she got home. However, she forgot to study for a midterm.",0.0,content_diversity,She didn't poorly on the test.,The test was worse then anticipated.,The midterm resulted in a low score.,She regretted what she did after the midterm grading.,The midterm brought a score not high enough to pass.,-0.031,0.947,-0.370,2.059,0.412,4.179,0.836,-0.509,12.370,0.515
test.sa-sb.sa-b::00704,Mark is a manager at a restaurant. One evening a customer comes in with a complaint. He tells mark the food is cold and undercooked. Mark apologizes and gives him a refund.,1.0,content_diversity,the customer was still not happy,the customer was ok,mark decides to make better food,the restaurant was closed a few weeks later,customers comes less and less due to cold food,-0.047,0.929,-0.176,2.042,0.408,5.000,1.000,-0.229,14.219,0.677
test.sa-sb.sa-b::00706,"My textbook went missing. I tried to look inside the laundry room. Dust was flying everywhere, especially on the desk. I managed to find the book inside a bin.",1.0,content_diversity,I was glad I made the effort.,I was about to sneeze.,It was not harmed.,It was dirty.,I dusted it off.,-0.061,0.917,-0.327,1.474,0.295,4.448,0.890,-0.254,7.302,0.664
test.sa-sb.sa-b::00706,"My textbook went missing. I tried to look inside the laundry room. Dust was flying everywhere, especially on the desk. I managed to find the book inside a bin.",0.0,content_diversity,I'm glad I looked for it.,It was worth the effort for the book.,I felt the time involved was worth it.,"The effort was steep, but I would do it again.",The book make it all worth the trouble.,-0.063,0.909,-0.395,2.573,0.515,4.930,0.986,-0.575,9.907,0.431
test.sa-sb.sa-b::00708,Tim's grass got too long. He had to cut it or get fined. He decided to rent a riding mower. It took him less time than expected.,1.0,content_diversity,Riding lawnmowers take less time.,He felt it was a good purchase.,The purchase was a good one to him.,He was glad he didn't have to pay the fine.,He was happy that the grass issue was resolved.,-0.051,0.919,-0.341,2.689,0.538,4.599,0.920,-0.459,8.958,0.373
test.sa-sb.sa-b::00709,I put my dog in training school. He is learning a lot of new tricks. He can now sit and stand. They are very good teachers.,1.0,content_diversity,I love that my dog is so obediant now.,But today he bit the postman and made him bleed.,They have made me want to train to be a dog trainer now.,I want him to be able to hunt out rats next.,I have heard a lot of people say good things about them.,-0.026,0.949,-0.239,2.144,0.429,4.962,0.992,-0.222,16.716,0.576
test.sa-sb.sa-b::00710,Jim wanted to lose weight. He got a gym membership. He was embarrassed to go at first. Eventually he got over it.,0.0,content_diversity,Jim is so happy he did as he looks much better these days.,After a while the weight began to fall off so Jim is very pleased with his decision.,"After a month and looking in the mirror, Jim thinks its the best money he ever spent.","As well as been thinner, Jim was much happier.",He is pleased he did as nowadays he looks highly toned and buff.,-0.049,0.920,-0.287,2.304,0.461,4.920,0.984,-0.608,16.510,0.423
test.sa-sb.sa-b::00711,Sam and his family went to the local town fair one Saturday. It was hot and humid but they tried to have fun anyway. Sam went on a few rides and played a few games. Suddenly it became very dark and the humidity broke.,0.0,content_diversity,The rain suddenly started falling and everyone dashed to find shelter.,Everyone ran for cover as the rain suddenly started teeming down.,In an instant the rain pelted down and people began to run for cover.,People began to run for cover as the rain started to fall.,Everyone tried to find shelter as the heavens opened and the rain poured down.,-0.144,0.793,-0.585,2.089,0.418,3.921,0.784,-0.883,21.190,0.505
test.sa-sb.sa-b::00712,Tammy was at the park. She was watching her kids play. Tammy decided it was time to leave. She called her kids to the car.,0.0,content_diversity,they left,they leave the park,they went on with their car,they were on the road again,they drive away from the park,-0.071,0.923,-0.228,1.784,0.357,4.974,0.995,-0.398,7.670,0.852
test.sa-sb.sa-b::00715,The cat smelled a shoe. It smelled like another cat. The cat urinated on the shoe. The owner put the shoe on later.,0.0,content_diversity,They were surprised.,The owner decided he should smell the shoes first.,He noticed only later in the day.,The shoe did not smell the same he noticed.,The owner didn't know the cat urinated on shoes.,-0.037,0.933,-0.280,2.248,0.450,4.953,0.991,-0.188,10.333,0.449
test.sa-sb.sa-b::00717,Heather was out with her husband at a fast food joint. They order their food and go to sit down. When the food arrived Heather noticed something moving. She checked her fries and found a cockroach.,0.0,content_diversity,she took it to social media,she posted photo on her instagram account,she made a post online,she created a post that went viral,she decides to make a post about it,-0.066,0.925,-0.403,1.729,0.346,4.799,0.960,-0.649,13.067,0.769
